taxa	Crude Oil	PD5	PD6	PF7	FLU	HEX	OIL	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W
Caldicellulosiruptorales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	0	25	11
Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	26	61	69	36
Cantharellales	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnodiales	0	2510	1460	277	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Carboxydothermales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	4	8
Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	10	10
Caulobacterales	0	180	179	205	0	0	0	0	0	0	0	0	0	32	171	92	272	500
Cercomonadida	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetosphaeriales	0	9	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetothyriales	0	616	2014	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophagales	0	200	409	793	0	0	0	0	0	0	0	0	0	16	28	8	7	57
Chlamydiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydiales	0	7	138	237	0	0	0	0	0	0	0	0	0	6	5	4	13	12
Chloracidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Chlorobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	27	116	12	47	52
Chloroflexales	0	0	0	0	0	0	0	0	0	0	0	0	0	74	295	9	48	53
Chromatiales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	2	16	17
Chrysiogenales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	1	4	6
Chthoniobacterales	0	216	1554	218	0	0	0	0	0	0	0	0	0	13	50	4	6	27
Chthonomonadales	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chytridiales	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales	0	0	0	0	0	0	0	0	0	0	0	0	0	36	105	11	69	56
Coniochaetales	0	0	19158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprothermobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1
Coriobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	1	3	9
Coxiellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coxiellales	0	28	0	0	0	0	0	0	0	0	0	0	0	2	5	3	23	22
Cucurbitales	0	161	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	205	251	33	144	147
Cyatheales	0	91	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystofilobasidiales	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophagales	0	0	0	0	15	141	2	23	0	2	0	0	12	0	0	0	0	0
Cytophagales	0	0	0	94	0	0	0	0	0	0	0	0	0	26	153	32	100	229
Deferribacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	6	8	7
Dehalococcoidales	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	4	4	5
Deinococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	37	113	1	44	34
Desulfarculales	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	3	4
Desulfitobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	9	2
Desulfobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	14	43	2	23	32
Desulfobulbales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobulbales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	26	4	6	14
Desulfotomaculales	0	0	0	0	0	0	0	0	0	0	0	0	0	8	29	1	10	11
Desulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	27	100	24	54	54
Desulfurobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	1	4
Desulfuromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	11	55	13	17	33
Dethiobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	0	1
Diaporthales	0	1701	89	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dicranales	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
