Method	Domain	Family	FLU	HEX	OIL	PD5	PD6	PF7	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W	Control_W	Soil_Env	Soil_MC	Water_Env	Water_MC	Coral_Env
Environmental	Bacteria	Helicobacteraceae													2	5	5	13	5		0	0	23	0	7
Environmental	Bacteria	Heliobacteriaceae													0	14	1	3	5		0	0	9	0	14
Environmental	Bacteria	Herpetosiphonaceae													12	35	2	6	15		0	0	23	0	47
Environmental	Bacteria	Hydrogenobaculaceae													0	2	0	0	0		0	0	0	0	2
Environmental	Bacteria	Hydrogenothermaceae													0	7	2	9	13		0	0	24	0	7
Environmental	Bacteria	Hyphomicrobiaceae				219	343	305							2	16	7	18	28		867	0	53	0	18
Environmental	Bacteria	Hyphomonadaceae													3	26	19	53	143		0	0	215	0	29
Environmental	Bacteria	Inquilinaceae				0	0	89													89	0	0	0	0
Environmental	Bacteria	Isosphaeraceae				176	184	169							11	45	3	3	13		529	0	19	0	56
Environmental	Bacteria	Kangiellaceae													8	9	19	25	20		0	0	64	0	17
Environmental	Bacteria	Kineococcaceae													4	14	2	4	6		0	0	12	0	18
Environmental	Bacteria	Koribacteraceae				0	0	308							8	59	4	11	4		308	0	19	0	67
Environmental	Bacteria	Kosmotogaceae													1	2	0	3	1		0	0	4	0	3
Environmental	Bacteria	Kribbellaceae													2	20	0	6	6		0	0	12	0	22
Environmental	Bacteria	Ktedonobacteraceae				581	702	888							14	52	0	5	13		2171	0	18	0	66
Environmental	Bacteria	Kyrpidiaceae													6	16	1	6	7		0	0	14	0	22
Environmental	Bacteria	Lachnospiraceae													10	37	3	18	9		0	0	30	0	47
Environmental	Bacteria	Lactobacillaceae													12	38	21	24	10		0	0	55	0	50
Environmental	Bacteria	Legionellaceae				20	0	0							9	27	7	32	31		20	0	70	0	36
Environmental	Bacteria	Lentisphaeraceae													7	36	0	14	24		0	0	38	0	43
Environmental	Bacteria	Leptospiraceae													5	14	2	17	14		0	0	33	0	19
Environmental	Bacteria	Leptospirillaceae													11	33	0	3	8		0	0	11	0	44
